time,No Label,01C13,02C13,03C13,04C13,05C13,06C13,07C13,08C13,09C13,10C13,11C13,12C13,13C13,14C13,15C13,16C13,17C13,18C13,19C13,20C13,21C13,22C13,23C13
15min,24.157050381806155,0.0,1.1549965863825993,0.0,0.0,0.0,0.0,0.025403152424019537,0.0,0.0006971221129269117,0.0034851533078903768,0.08494835031528163,0.07621121890717017,0.0,0.0,0.020280493921950648,0.0,0.0044843816949301585,0.007083616915666078,0.0611880709762567,0.0,0.0,0.00038170694628301554,0.0
15min,16.738705171295425,0.0,0.5626950012460967,0.09629699612546967,0.0,0.06145529602962226,0.2818029788722033,0.0,0.0,0.428115511279386,0.0,0.0,0.0,0.0,0.0009571973055873659,0.8564217534081963,0.30681940311471456,0.1344247108830893,0.09952619592993087,0.02349245300601813,0.029281918622737203,0.8864524425948968,0.3324105070678796,0.12941903361084614
2880min,1.2585988672340143,0.0,4.628498805675996,0.32778122362239265,1.0497699867574997,14.920590538505877,20.98088329993703,64.97077412851459,63.5835964488812,28.011584793277155,11.296156330113716,0.0,0.0,0.0,0.0,0.015042459572691473,0.026440763454086264,0.07883175598124856,0.018273647134561963,0.09146942050041965,0.003385777671750507,0.0,0.0,0.0
2880min,1.3624752564976184,0.0,6.6494875929236175,0.5270201010272568,1.8627126174061277,22.690819461849564,31.432886397388884,104.34272806053808,102.13900769595426,45.378516983931455,16.887623370369862,0.0,0.0,0.0,0.0,0.11122585953870417,0.012844649902682245,0.040891676330274615,0.0057795409255364605,0.013145795368651349,0.0,0.0,0.0,0.0
2880min,2.013828504566039,0.0,7.900621330497051,0.45937658469406595,2.9555356721167545,23.94959257187972,31.747152750626054,102.41591388051702,97.31691651772086,42.98844358350717,16.775856766515197,0.0,0.0,0.0,0.0,0.011911678535909416,0.016233617107593457,0.0320258258178053,0.006260231206248255,0.0083954905756567,0.0,0.0,0.0,0.0
30min,13.642208163401241,0.0,1.6767736428854598,0.0,0.0,0.180269915146156,0.0,0.2458064049050965,0.0,0.1469367692012377,0.0,0.0,0.0,0.27162168581188456,0.10092670100568163,0.14644238586978495,0.24697590946348133,0.0,0.15763325219625543,0.0,0.0,0.37002942354566737,0.17595392721232372,0.01775726326219875
30min,22.727069798011264,0.0,2.474208083895217,0.0,0.0,0.0,0.06111806199241817,0.06485949133243223,0.05862849703987944,0.0585449372705005,0.0,0.26370941714190216,0.06572367425607586,0.11741351080113512,0.001751762470270461,1.4197401346836314,0.0,0.04641899536896501,0.0318448183995461,0.014036182137697258,0.0,0.13104177666005068,0.02499466783589788,0.0
30min,21.88839922983022,0.0,3.1312354596084826,0.0,0.0,0.0,0.0,0.0,0.015100124582822746,0.0,0.0010031109370090233,0.11375737656506685,0.0782648940995665,0.0,0.0,0.000997275723583279,0.0,0.025375749403142286,0.022283593007720683,0.08407529160457691,0.0034423536931636857,0.0,0.0,0.0
360min,10.316521274371949,0.0,10.247025896786736,0.0,0.0,5.03893623231625,1.1259641970892673,5.749871980358032,0.7643657726368916,0.09843425930104849,0.0,0.3720233381368896,0.20709964057056846,0.0,0.0,0.0,0.0009216734716332485,0.019494289190141668,0.002612910053137646,0.020526357359211905,0.0,0.0,0.0,0.0
360min,8.146382441364734,0.0,7.213572066405565,0.0,0.0,4.085708301913453,0.5838618638936875,3.733339356858127,0.48634613414990086,0.0,0.0,0.07883939985476415,0.06764665428717312,0.0,0.0,0.006171696637822595,0.0,0.02563114753840959,0.04373278108063757,0.07588729210557962,0.0,0.0,0.0,0.0
360min,11.059572638689595,0.0,11.177228736471541,0.0,0.0,5.60865306410792,1.0979079916669987,5.851752061854174,0.6200030965219019,0.0,0.0,0.03565019465222825,0.0794667360623219,0.03182406713691079,0.0,0.03634201148431963,0.0,0.06104002599200928,0.020233089498695615,0.009236386950198667,0.010788340445494503,0.0,0.0013164424073874026,0.0
5min,22.34774843573738,0.0,0.0,0.0,0.0,0.0,0.0021811291664191926,0.013159959084696058,0.005874802168583989,0.005962669564672102,0.0044221605598706686,0.021512204719345562,0.03720948575997656,0.004649464099075897,0.0,0.0030451830129182545,0.0023278005756812575,0.02124679385647291,0.010992953674320237,0.029936252667004053,0.006363588295782479,0.0,0.010232738126969463,0.0
5min,26.09210489990092,0.0,0.0,0.0,0.0,0.0007786485829934628,0.0,0.004757132585966943,0.008960083946041876,0.007505624613651771,0.025215262031693702,0.10973126160536034,0.042042791842119336,0.0,0.0,0.01430466965755496,0.0027421499655221416,0.03981242893114241,0.03747691410440917,0.0974347814835921,0.0032790890054706107,0.0,0.0005772670244359957,0.0
5min,21.69671893094904,0.0,0.0,0.0,0.0,0.0,0.0,0.007897024533558355,0.012215268140802246,0.002806053362221311,0.00012770247282064783,0.04628264872773348,0.10509773999261904,0.0,0.0,0.0,0.0,0.014314179002999779,0.0007097445941731615,0.030760474713077194,0.0037836216455122075,0.0007542683380742823,0.0,0.0
60min,16.527040004830926,0.0,5.945366088063786,0.0,0.0,0.0,0.0,0.12146322299315077,0.0,0.0,0.0,0.21413258348256545,0.03200947392283283,0.0,0.0,0.0,0.0,0.041308380022305066,0.013754608168351477,0.09450058340002047,0.0010308864680267477,0.0,0.0,0.0
60min,0.013156753331812108,0.0,0.0,0.0,0.0,0.0,0.0,0.00017176791809268225,0.0017563881680925147,0.00041189279266424915,0.001241681287416638,0.030437365598069494,0.02352172129761133,0.0,0.0,0.0,0.0,0.0076128369822745165,0.0034470930897268974,0.004569232295047405,0.0,0.0,0.0,0.0
60min,22.303110345145846,0.0,7.867945531066016,0.0,0.0,0.2124431102719227,0.0,0.166817288604214,0.03172943380482848,0.0,0.0,0.08473569898867202,0.08410832314522143,0.0,0.0,0.039865812620171866,0.0,0.011959127478979148,0.0026506693800211123,0.016398665720247962,0.001852602784161873,0.0,0.0005136580164165779,0.0
